City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,conde,-7.2597,-34.9075,26.7,83,40,2.57,BR,1676525054
334,jieshi,22.8134,115.8257,16.4,53,45,7.74,CN,1676525102
335,victoria,22.2855,114.1577,18.35,52,15,4.47,HK,1676524797
336,buritizeiro,-17.3511,-44.9622,22.13,74,77,0.13,BR,1676525103
337,bani,18.2833,-70.3333,23.25,80,2,5.69,DO,1676525104
338,lagoa santa,-19.6272,-43.8897,20.54,83,0,3.6,BR,1676525104
339,alta floresta,-9.8756,-56.0861,21.71,98,100,1.28,BR,1676524978
340,amga,60.8953,131.9608,-27.27,91,81,0.06,RU,1676525085
341,waingapu,-9.6567,120.2641,29.47,71,100,5.39,ID,1676525007
342,coahuayana,18.7333,-103.6833,19.57,79,1,1.68,MX,1676525103
343,zhigansk,66.7697,123.3711,-31.84,96,100,5.18,RU,1676525106
344,general pico,-35.6566,-63.7568,18.93,32,27,2.81,AR,1676525106
345,ferrol,43.4832,-8.2369,10.75,84,89,1.69,ES,1676524884
346,bambanglipuro,-7.95,110.2833,28.4,73,96,5.31,ID,1676525107
347,ypsonas,34.6884,32.9574,9.6,61,0,1.03,CY,1676525107
348,vanimo,-2.6741,141.3028,28.8,69,98,0.25,PG,1676525108
349,port-cartier,50.0334,-66.8654,-1.88,98,100,2.72,CA,1676525109
350,nago,26.5881,127.9761,20.47,66,52,6.07,JP,1676525109
351,constitucion,-35.3333,-72.4167,15.54,75,0,5.1,CL,1676524919
352,pitimbu,-7.4706,-34.8086,27.33,82,91,3.97,BR,1676525016
353,najran,17.4924,44.1277,21.36,33,10,0.98,SA,1676525111
354,chapais,49.7834,-74.8492,1.88,98,100,5.39,CA,1676525090
355,itarema,-2.9248,-39.9167,25.04,88,96,3.38,BR,1676525112
356,kaitangata,-46.2817,169.8464,15.59,68,99,3.47,NZ,1676524936
357,marathon,44.9,-89.7668,-1.42,76,100,3.09,US,1676525112
358,raga,8.4596,25.678,17.39,23,8,3.5,SS,1676525113
359,springbok,-29.6643,17.8865,13.04,83,40,0.48,ZA,1676525113
360,magadan,59.5667,150.8,-12.48,76,100,3.28,RU,1676524804
361,ranfurly,-45.1333,170.1,19.5,54,48,4.09,NZ,1676525114
362,dunedin,-45.8742,170.5036,14.89,76,87,3.58,NZ,1676525115
363,college,64.8569,-147.8028,-18.22,71,20,1.54,US,1676525061
